Class Name,Objects,Shallow Heap,Retained Heap,Percentage of Retained Heap
java.util.concurrent.ConcurrentHashMap,0,25,17027,0.0
jdk.internal.loader.ClassLoaders$AppClassLoader,0,42,6435,0.0
java.net.URI,24,2433,6072,0.0
jdk.internal.module.ModuleReferenceImpl,24,1730,4578,0.0
java.lang.module.Configuration,0,34,3369,0.0
jdk.internal.module.ServicesCatalog,0,19,2566,0.0
java.lang.invoke.MethodType,18,914,2271,0.0
java.lang.ModuleLayer,0,34,2174,0.0
java.lang.invoke.LambdaForm,0,258,2013,0.0
java.lang.invoke.MethodTypeForm,0,218,1582,0.0
jdk.internal.loader.ClassLoaders$PlatformClassLoader,0,42,1075,0.0
jdk.internal.loader.ClassLoaders$BootClassLoader,0,42,969,0.0
sun.invoke.util.Wrapper,0,274,587,0.0
java.lang.invoke.BoundMethodHandle$SpeciesData,0,67,438,0.0
java.lang.OutOfMemoryError[],0,34,436,0.0
java.lang.invoke.BoundMethodHandle$Specializer,0,22,399,0.0
sun.util.locale.BaseLocale,1,299,299,0.0
java.lang.invoke.LambdaForm$NamedFunction,0,103,234,0.0
java.util.ImmutableCollections$ListN,0,19,213,0.0
java.lang.invoke.MemberName,0,115,210,0.0
java.util.ImmutableCollections$Set12,0,150,173,0.0
java.lang.invoke.DirectMethodHandle,0,75,131,0.0
java.lang.invoke.LambdaForm$Name,0,106,106,0.0
java.lang.invoke.LambdaForm$Kind,0,90,90,0.0
java.lang.module.ModuleDescriptor$Version,0,11,88,0.0
java.lang.invoke.LambdaForm$BasicType,0,75,75,0.0
java.lang.invoke.VarHandle$AccessType,0,75,75,0.0
java.lang.invoke.DirectMethodHandle$Accessor,0,67,67,0.0
jdk.internal.misc.InnocuousThread,0,50,58,0.0
jdk.internal.ref.CleanerImpl,0,5,50,0.0
java.lang.ArithmeticException,0,15,42,0.0
java.util.ImmutableCollections$MapN,0,11,19,0.0
java.lang.NullPointerException,0,19,19,0.0
sun.nio.cs.UTF_8,0,5,19,0.0
java.util.ImmutableCollections$SetN,0,5,15,0.0
java.lang.VirtualMachineError,0,15,15,0.0
java.lang.OutOfMemoryError,0,15,15,0.0
jdk.internal.loader.ClassLoaderValue,0,11,11,0.0
java.util.jar.Manifest[],0,5,5,0.0
java.net.URL[],0,5,5,0.0
java.security.ProtectionDomain[],0,5,5,0.0
java.lang.invoke.ResolvedMethodName,0,0,0,0.0
java.lang.reflect.ReflectAccess,0,0,0,0.0
java.net.URL$3,0,0,0,0.0
java.lang.ref.Cleaner,0,0,0,0.0
jdk.internal.misc.ScopedMemoryAccess,0,0,0,0.0
java.lang.System$2,0,0,0,0.0
jdk.internal.reflect.ReflectionFactory,0,0,0,0.0
java.lang.invoke.MemberName$Factory,0,0,0,0.0
java.lang.module.ModuleDescriptor$1,0,0,0,0.0
java.io.FileDescriptor$1,0,0,0,0.0
java.security.cert.Certificate[],0,0,0,0.0
jdk.internal.misc.Unsafe,0,0,0,0.0
java.lang.StackTraceElement[],0,0,0,0.0
